# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.library.entities.serializer.load.entities.ms,1746488807797000000,1746488850024000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1746488807797000000,1746488850024000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1746488807797000000,1746488850024000000,0
jps.app.storage.content.writer.save.component.ms,1746488807797000000,1746488850024000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1746488807797000000,1746488850024000000,0
workspaceModel.load.cache.metadata.from.file.ms,1746488807797000000,1746488850024000000,0
jps.global.initialize.library.bridges.after.loading.ms,1746488807797000000,1746488850024000000,0
jps.global.get.library.ms,1746488807797000000,1746488850024000000,0
jps.global.handle.changed.events.ms,1746488807797000000,1746488850024000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1746488807797000000,1746488850024000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1746488807797000000,1746488850024000000,0
workspaceModel.sync.entities.ms,1746488807797000000,1746488850024000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1746488807797000000,1746488850024000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1746488807797000000,1746488850024000000,0
workspaceModel.global.apply.state.to.project.ms,1746488807797000000,1746488850024000000,0
jps.app.storage.content.reader.load.component.ms,1746488807797000000,1746488850024000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1746488807797000000,1746488850024000000,0
jps.save.global.entities.ms,1746488807797000000,1746488850024000000,33
workspaceModel.mutableEntityStorage.collect.changes.ms,1746488807797000000,1746488850024000000,0
jps.global.handle.before.change.events.ms,1746488807797000000,1746488850024000000,0
workspaceModel.mutableEntityStorage.entities.ms,1746488807797000000,1746488850024000000,2
workspaceModel.global.updates.ms,1746488807797000000,1746488850024000000,0
jps.library.entities.serializer.save.entities.ms,1746488807797000000,1746488850024000000,0
jps.global.initialize.library.bridges.ms,1746488807797000000,1746488850024000000,0
jps.global.get.libraries.ms,1746488807797000000,1746488850024000000,1
workspaceModel.mutableEntityStorage.add.diff.ms,1746488807797000000,1746488850024000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1746488807797000000,1746488850024000000,0
workspaceModel.load.cache.from.file.ms,1746488807797000000,1746488850024000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1746488807797000000,1746488850024000000,0
jps.load.initial.state.ms,1746488807797000000,1746488850024000000,6
jps.global.get.library.by.name.ms,1746488807797000000,1746488850024000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1746488807797000000,1746488850024000000,0
workspaceModel.save.cache.to.file.ms,1746488807797000000,1746488850024000000,0
workspaceModel.global.updates.count,1746488807797000000,1746488850024000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1746488807797000000,1746488850024000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1746488807797000000,1746488850024000000,0
FilePageCacheLockFree.totalPagesWriteMs,1746488807797000000,1746488850024000000,0
FilePageCache.uncachedFileAccess,1746488807797000000,1746488850024000000,239
FilePageCacheLockFree.totalPagesWritten,1746488807797000000,1746488850024000000,0
FilePageCache.maxCacheSizeInBytes,1746488807797000000,1746488850024000000,418398208
FilePageCacheLockFree.housekeeperTurnsSkipped,1746488807797000000,1746488850024000000,31293
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1746488807797000000,1746488850024000000,41975808
FilePageCacheLockFree.housekeeperTurnsDone,1746488807797000000,1746488850024000000,87
DirectByteBufferAllocator.disposed,1746488807797000000,1746488850024000000,359
StorageLockContext.competingThreads.avg,1746488807797000000,1746488850024000000,0.0
FilePageCacheLockFree.totalHeapBytesAllocated,1746488807797000000,1746488850024000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1746488807797000000,1746488850024000000,2
FilePageCacheLockFree.totalPagesHandedOver,1746488807797000000,1746488850024000000,0
FilePageCache.maxRegisteredFiles,1746488807797000000,1746488850024000000,1102
FilePageCacheLockFree.totalPageAllocationsWaited,1746488807797000000,1746488850024000000,0
FilePageCacheLockFree.nativeBytesInUse,1746488807797000000,1746488850024000000,0
FilePageCache.disposedBuffers,1746488807797000000,1746488850024000000,404
FilePageCacheLockFree.totalPagesAllocated,1746488807797000000,1746488850024000000,2
FilePageCacheLockFree.totalNativeBytesReclaimed,1746488807797000000,1746488850024000000,16384
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1746488807797000000,1746488850024000000,41975808
